[2026-02-20 21:37:41] [INFO    ] discord.client: logging in using static token
[2026-02-20 21:37:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-20 21:37:42] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-20 21:37:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1474131468711100427', 'username': 'HangarBot', 'avatar': '294c306fe8af5b6dc72ff3c68d9362ab', 'discriminator': '8850', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-20 21:37:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-20 21:37:42] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-20 21:37:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1474131468711100427', 'name': 'HangarBot', 'icon': '294c306fe8af5b6dc72ff3c68d9362ab', 'description': 'A bot that will automatically send an image of a plane being discussed!\n\nMade by: WinstonPlaneGuy', 'type': None, 'bot': {'id': '1474131468711100427', 'username': 'HangarBot', 'avatar': '294c306fe8af5b6dc72ff3c68d9362ab', 'discriminator': '8850', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '1782e2121303cc62f614db2f6806eb6a6b3967607b2ba390650e7dbc658e94a4', 'flags': 8945664, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '269915464799354882', 'username': 'winstonplaneguy', 'avatar': '82c23f9b53625b806b11323d76f1a228', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': 'ec5182423518eb0857a68c348e89bd1a', 'accent_color': 2698031, 'global_name': 'WinstonPlaneGuy', 'avatar_decoration_data': {'asset': 'a_fcb0de14da228879b455f1f1d3919749', 'sku_id': '1333278032768536596', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614227865711', 'asset': 'nameplates/nameplates/koi_pond/', 'label': 'COLLECTIBLES_NAMEPLATES_KOI_POND_A11Y', 'palette': 'sky'}}, 'display_name_styles': {'font_id': 11, 'effect_id': 4, 'colors': [723858]}, 'banner_color': '#292b2f', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-20 21:37:42] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-20 21:37:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-rw2g",{"micros":0.0}]']}}
[2026-02-20 21:37:42] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-20 21:37:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
